Time,X-axis,Y-axis,Z-axis,Temperature
00:00:00,129.0,120.0,4.0,26.0
00:00:02,132.0,120.0,4.0,26.0
00:00:03,130.0,119.0,4.0,26.0
00:00:03,134.0,119.0,5.0,26.0
00:00:03,130.0,120.0,5.0,26.0
00:00:03,133.0,118.0,4.0,26.0
00:00:03,129.0,117.0,5.0,26.0
00:00:04,133.0,118.0,3.0,26.0
00:00:04,131.0,120.0,4.0,26.0
00:00:04,132.0,120.0,4.0,26.0
00:00:04,133.0,116.0,4.0,26.0
00:00:04,131.0,119.0,4.0,26.0
00:00:05,131.0,117.0,5.0,26.0
00:00:05,131.0,120.0,5.0,26.0
00:00:05,130.0,119.0,4.0,26.0
00:00:05,132.0,119.0,2.0,26.0
00:00:05,131.0,118.0,6.0,26.0
00:00:06,133.0,118.0,5.0,26.0
00:00:06,131.0,118.0,3.0,26.0
00:00:06,131.0,119.0,4.0,26.0
00:00:06,133.0,120.0,5.0,26.0
00:00:06,131.0,118.0,4.0,26.0
00:00:07,133.0,118.0,3.0,26.0
00:00:07,134.0,119.0,5.0,26.0
00:00:07,128.0,120.0,4.0,26.0
00:00:07,132.0,119.0,4.0,26.0
00:00:07,130.0,119.0,4.0,26.0
00:00:08,131.0,119.0,4.0,26.0
00:00:08,131.0,119.0,5.0,26.0
00:00:08,131.0,118.0,4.0,26.0
00:00:08,132.0,119.0,5.0,26.0
00:00:08,130.0,118.0,5.0,26.0
00:00:08,130.0,119.0,4.0,26.0
00:00:09,133.0,120.0,3.0,26.0
00:00:09,128.0,113.0,4.0,26.0
00:00:09,122.0,120.0,7.0,26.0
00:00:09,111.0,122.0,5.0,26.0
00:00:09,139.0,124.0,6.0,26.0
00:00:10,124.0,122.0,255.0,26.0
00:00:10,125.0,121.0,7.0,26.0
00:00:10,117.0,136.0,3.0,26.0
00:00:10,116.0,122.0,255.0,26.0
00:00:10,142.0,121.0,3.0,26.0
00:00:11,115.0,129.0,10.0,26.0
00:00:11,141.0,116.0,247.0,26.0
00:00:11,128.0,125.0,6.0,26.0
00:00:11,134.0,123.0,6.0,26.0
00:00:11,114.0,119.0,2.0,26.0
00:00:11,132.0,124.0,1.0,26.0
00:00:12,118.0,120.0,8.0,26.0
00:00:12,143.0,112.0,3.0,26.0
00:00:12,112.0,129.0,255.0,26.0
00:00:12,116.0,128.0,17.0,26.0
00:00:12,127.0,125.0,9.0,26.0
00:00:13,118.0,128.0,13.0,26.0
00:00:13,129.0,121.0,7.0,26.0
00:00:13,106.0,137.0,254.0,26.0
00:00:13,141.0,123.0,3.0,26.0
00:00:13,105.0,132.0,6.0,26.0
00:00:14,139.0,128.0,2.0,26.0
00:00:14,139.0,115.0,255.0,26.0
00:00:14,127.0,108.0,250.0,26.0
00:00:14,148.0,112.0,4.0,26.0
00:00:14,143.0,109.0,249.0,26.0
