Time,X-axis,Y-axis,Z-axis,Temperature
00:00:00,132.0,120.0,5.0,27.0
00:00:02,134.0,120.0,5.0,27.0
00:00:03,132.0,121.0,4.0,27.0
00:00:03,128.0,121.0,7.0,27.0
00:00:03,135.0,118.0,4.0,27.0
00:00:03,132.0,122.0,4.0,27.0
00:00:03,132.0,120.0,5.0,27.0
00:00:04,133.0,118.0,5.0,27.0
00:00:04,134.0,119.0,4.0,27.0
00:00:04,136.0,119.0,5.0,27.0
00:00:04,133.0,120.0,6.0,27.0
00:00:04,133.0,118.0,5.0,27.0
00:00:04,134.0,119.0,4.0,27.0
00:00:05,133.0,118.0,7.0,27.0
00:00:05,132.0,120.0,5.0,27.0
00:00:05,132.0,119.0,5.0,27.0
00:00:05,133.0,121.0,6.0,27.0
00:00:06,136.0,120.0,4.0,27.0
00:00:06,133.0,120.0,5.0,27.0
00:00:06,131.0,119.0,6.0,27.0
00:00:06,132.0,119.0,3.0,27.0
00:00:06,132.0,119.0,6.0,27.0
00:00:07,133.0,119.0,5.0,27.0
00:00:07,133.0,119.0,4.0,27.0
00:00:07,132.0,118.0,5.0,27.0
00:00:07,132.0,119.0,3.0,27.0
00:00:07,132.0,119.0,5.0,27.0
00:00:08,134.0,120.0,5.0,27.0
00:00:08,134.0,121.0,5.0,27.0
00:00:08,134.0,121.0,5.0,27.0
00:00:08,132.0,121.0,5.0,27.0
00:00:08,135.0,119.0,4.0,27.0
00:00:08,132.0,120.0,5.0,27.0
00:00:09,133.0,120.0,5.0,27.0
00:00:09,133.0,122.0,7.0,27.0
00:00:09,134.0,122.0,6.0,27.0
00:00:09,131.0,121.0,6.0,27.0
00:00:09,133.0,128.0,11.0,27.0
00:00:10,122.0,121.0,5.0,27.0
00:00:10,133.0,125.0,9.0,27.0
00:00:10,126.0,122.0,2.0,27.0
00:00:10,135.0,123.0,6.0,27.0
00:00:10,127.0,120.0,8.0,27.0
00:00:11,138.0,120.0,7.0,27.0
00:00:11,123.0,121.0,6.0,27.0
00:00:11,133.0,113.0,8.0,27.0
00:00:11,136.0,122.0,25.0,27.0
00:00:11,132.0,130.0,3.0,27.0
00:00:11,127.0,130.0,6.0,27.0
00:00:12,116.0,105.0,5.0,27.0
00:00:12,138.0,115.0,28.0,27.0
00:00:12,123.0,111.0,8.0,27.0
00:00:12,135.0,111.0,13.0,27.0
00:00:12,156.0,135.0,213.0,27.0
00:00:13,153.0,136.0,2.0,27.0
00:00:13,138.0,100.0,49.0,27.0
00:00:13,133.0,153.0,230.0,27.0
00:00:13,137.0,100.0,94.0,27.0
00:00:13,116.0,147.0,221.0,27.0
00:00:14,134.0,102.0,23.0,27.0
